kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,activity,label
0.6555234,0.44393653,0.74104977,0.5097402,0.6725408,0.49675277,0.7254848,0.72977275,0.6804874,0.7200751,0.72997546,0.8799156,0.689237,0.8652328,0.72519183,0.9989229,0.70745605,0.9823362,0.7067953,0.5032465,Subject1_Activity1_1,0
0.6550533,0.44249594,0.73683786,0.51096636,0.67560166,0.4981188,0.7254896,0.7288789,0.68454,0.71989965,0.7307069,0.8699138,0.6851088,0.8600575,0.73195636,0.98906547,0.70015097,0.9755398,0.7062198,0.5045426,Subject1_Activity1_1,0
0.6544573,0.44155,0.73713523,0.5107397,0.67569065,0.49723175,0.7212238,0.7301512,0.6812372,0.7208445,0.72706586,0.87096137,0.6869206,0.8619635,0.72720283,0.98576343,0.70543283,0.9742798,0.7064129,0.5039857,Subject1_Activity1_1,0
0.65425706,0.4390909,0.7333783,0.5114012,0.6767946,0.4973242,0.7127449,0.7342212,0.6776261,0.7251528,0.72151774,0.8747893,0.6954295,0.8677533,0.71677417,0.9884428,0.71201056,0.97770405,0.70508647,0.5043627,Subject1_Activity1_1,0
0.6521222,0.43865272,0.7351816,0.5094766,0.67590237,0.49637333,0.7167794,0.7360981,0.6784626,0.7276796,0.7327653,0.87742656,0.690669,0.8719517,0.7267312,0.9871786,0.69958854,0.97875726,0.70554197,0.502925,Subject1_Activity1_1,0
0.6513486,0.4387221,0.73373014,0.50869596,0.676699,0.49668312,0.7198362,0.73654854,0.682943,0.72841644,0.7336069,0.8790707,0.69015163,0.87090117,0.7306381,0.9916225,0.6998682,0.97923523,0.70521456,0.50268954,Subject1_Activity1_1,0
0.650486,0.44024605,0.73366064,0.5090081,0.67459416,0.4984293,0.7218273,0.7369959,0.6832726,0.7294714,0.73186845,0.87690026,0.68754274,0.8696156,0.7281394,0.98643893,0.69992536,0.97333276,0.70412743,0.50371873,Subject1_Activity1_1,0
0.65019935,0.44048324,0.7335249,0.5089282,0.6748488,0.49887258,0.7225527,0.7377826,0.68454,0.73050004,0.7315284,0.8806943,0.69028664,0.87340647,0.72746414,0.9901268,0.7030634,0.97690296,0.70418686,0.5039004,Subject1_Activity1_1,0
0.6496984,0.44081974,0.7330397,0.5088448,0.6740891,0.49822652,0.7226812,0.73535705,0.684449,0.72779024,0.7309822,0.8755016,0.68856764,0.8675784,0.7269564,0.98702234,0.7020629,0.9722692,0.7035644,0.5035356,Subject1_Activity1_1,0
0.6496136,0.4419634,0.73263186,0.50799006,0.674501,0.49751332,0.72124565,0.7375739,0.68326825,0.73031265,0.7320673,0.87841326,0.6897196,0.8715633,0.72817767,0.98928547,0.7013606,0.9768824,0.70356643,0.5027517,Subject1_Activity1_1,0
0.6493786,0.4419523,0.7318122,0.50766623,0.67688644,0.4960802,0.71745247,0.73593557,0.6825921,0.7278164,0.7299581,0.876955,0.6949129,0.8678371,0.72619516,0.99202484,0.7056947,0.9785037,0.7043493,0.5018732,Subject1_Activity1_1,0
0.648797,0.44195953,0.7326924,0.508255,0.67581415,0.4967787,0.71799725,0.7366112,0.68157977,0.7283031,0.72947663,0.8750867,0.6930806,0.8654624,0.7262465,0.989902,0.7053663,0.97635275,0.7042533,0.50251687,Subject1_Activity1_1,0
0.6488852,0.44168922,0.7337146,0.5092753,0.6718435,0.49886698,0.7222573,0.73421806,0.68194836,0.72589606,0.73114616,0.87290436,0.6886848,0.86236423,0.729606,0.9907914,0.7049336,0.97405493,0.70277905,0.5040711,Subject1_Activity1_1,0
0.64822674,0.44186047,0.7329626,0.5095779,0.6706421,0.5002196,0.7240919,0.7359248,0.6828829,0.72767884,0.73465127,0.87365246,0.68822634,0.8618487,0.7325226,0.99311924,0.70367074,0.9722517,0.7018024,0.5048987,Subject1_Activity1_1,0
0.64802736,0.44231126,0.7324674,0.5086574,0.67104816,0.49945402,0.7236242,0.7323621,0.68321276,0.7240314,0.7329461,0.8734604,0.68884116,0.86151725,0.7320979,0.99603665,0.7043647,0.97472,0.7017578,0.50405574,Subject1_Activity1_1,0
0.64716977,0.44278395,0.73249656,0.5073364,0.6705095,0.49795163,0.72410196,0.726433,0.68314034,0.7179674,0.7331194,0.8688423,0.6877009,0.85676134,0.7333493,0.99598175,0.7014788,0.97550696,0.70150304,0.502644,Subject1_Activity1_1,0
0.6471228,0.4446609,0.73262805,0.50626725,0.670938,0.49670228,0.72275966,0.7269395,0.6822403,0.7183949,0.7311447,0.87211335,0.6887514,0.86003447,0.7325103,0.9966544,0.7034276,0.97841376,0.70178306,0.50148475,Subject1_Activity1_1,0
0.647119,0.4446066,0.7319282,0.50728136,0.6710361,0.49798778,0.7229216,0.72778225,0.68309087,0.7194593,0.7313599,0.8732468,0.6904309,0.8612634,0.7319917,0.99809915,0.7032013,0.97917944,0.7014822,0.5026346,Subject1_Activity1_1,0
0.6461322,0.44533604,0.73135275,0.50804657,0.670073,0.4979059,0.7217209,0.7288223,0.68151516,0.7202867,0.7310774,0.87171566,0.6876194,0.860111,0.7326057,0.99401,0.70287246,0.9754989,0.70071286,0.50297624,Subject1_Activity1_1,0
0.6457221,0.44592386,0.73029,0.50812995,0.669595,0.49843985,0.72110015,0.72973406,0.68123525,0.72173655,0.73221684,0.87144744,0.6891226,0.8609701,0.73250157,0.9946272,0.70342207,0.9765295,0.69994247,0.50328493,Subject1_Activity1_1,0
