kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,activity,label
0.6555234,0.44393653,0.6639792,0.43150043,0.656306,0.43019846,0.6996001,0.42929012,0.6780798,0.42624485,0.74104977,0.5097402,0.6725408,0.49675277,0.7339389,0.64183253,0.6546889,0.6017975,0.66483355,0.7061793,0.6382086,0.68805796,0.7254848,0.72977275,0.6804874,0.7200751,0.72997546,0.8799156,0.689237,0.8652328,0.72519183,0.9989229,0.70745605,0.9823362,Subject1_Activity1_1,0
0.6550533,0.44249594,0.66317743,0.43001062,0.656374,0.42913336,0.6985274,0.42933413,0.6791454,0.42623642,0.73683786,0.51096636,0.67560166,0.4981188,0.73427767,0.6461274,0.6602701,0.60390735,0.69551784,0.74007624,0.6449931,0.68064916,0.7254896,0.7288789,0.68454,0.71989965,0.7307069,0.8699138,0.6851088,0.8600575,0.73195636,0.98906547,0.70015097,0.9755398,Subject1_Activity1_1,0
0.6544573,0.44155,0.6621257,0.42895612,0.65596366,0.4284614,0.69725937,0.4276781,0.679966,0.42537984,0.73713523,0.5107397,0.67569065,0.49723175,0.74072456,0.64588326,0.66210556,0.6002871,0.7107408,0.744787,0.649294,0.6731153,0.7212238,0.7301512,0.6812372,0.7208445,0.72706586,0.87096137,0.6869206,0.8619635,0.72720283,0.98576343,0.70543283,0.9742798,Subject1_Activity1_1,0
0.65425706,0.4390909,0.66266966,0.42620248,0.6549296,0.42592385,0.6980092,0.42630905,0.6775414,0.4239638,0.7333783,0.5114012,0.6767946,0.4973242,0.74709314,0.6509624,0.67322487,0.6058879,0.736525,0.7636418,0.6630754,0.6719066,0.7127449,0.7342212,0.6776261,0.7251528,0.72151774,0.8747893,0.6954295,0.8677533,0.71677417,0.9884428,0.71201056,0.97770405,Subject1_Activity1_1,0
0.6521222,0.43865272,0.6597881,0.42563635,0.6528169,0.42585042,0.69435596,0.42538866,0.67623657,0.4240373,0.7351816,0.5094766,0.67590237,0.49637333,0.7560079,0.64681363,0.67699164,0.6040667,0.7535936,0.7623622,0.6654944,0.6739817,0.7167794,0.7360981,0.6784626,0.7276796,0.7327653,0.87742656,0.690669,0.8719517,0.7267312,0.9871786,0.69958854,0.97875726,Subject1_Activity1_1,0
0.6513486,0.4387221,0.6589942,0.42584085,0.6520662,0.42601892,0.69174,0.42731866,0.67514795,0.4256438,0.73373014,0.50869596,0.676699,0.49668312,0.76428163,0.6402796,0.685387,0.6070754,0.7608327,0.75596046,0.6780544,0.69962275,0.7198362,0.73654854,0.682943,0.72841644,0.7336069,0.8790707,0.69015163,0.87090117,0.7306381,0.9916225,0.6998682,0.97923523,Subject1_Activity1_1,0
0.650486,0.44024605,0.65813386,0.427398,0.65163034,0.42715198,0.6913477,0.42832762,0.6745103,0.4268039,0.73366064,0.5090081,0.67459416,0.4984293,0.7645859,0.637936,0.6809204,0.6043491,0.76536524,0.7560803,0.67101043,0.69549847,0.7218273,0.7369959,0.6832726,0.7294714,0.73186845,0.87690026,0.68754274,0.8696156,0.7281394,0.98643893,0.69992536,0.97333276,Subject1_Activity1_1,0
0.65019935,0.44048324,0.65794694,0.4275758,0.65120894,0.42740503,0.69121104,0.42866537,0.67387146,0.42725584,0.7335249,0.5089282,0.6748488,0.49887258,0.7654969,0.6370003,0.681678,0.60507804,0.7659762,0.7549871,0.67190135,0.6976098,0.7225527,0.7377826,0.68454,0.73050004,0.7315284,0.8806943,0.69028664,0.87340647,0.72746414,0.9901268,0.7030634,0.97690296,Subject1_Activity1_1,0
0.6496984,0.44081974,0.65751255,0.42812416,0.65090764,0.42767122,0.6910767,0.42899492,0.6735727,0.4269564,0.7330397,0.5088448,0.6740891,0.49822652,0.7646672,0.6362469,0.6813691,0.6033591,0.765523,0.75419694,0.6717132,0.69574,0.7226812,0.73535705,0.684449,0.72779024,0.7309822,0.8755016,0.68856764,0.8675784,0.7269564,0.98702234,0.7020629,0.9722692,Subject1_Activity1_1,0
0.6496136,0.4419634,0.6571204,0.42899573,0.65055954,0.42869303,0.6905202,0.42849424,0.6733345,0.4270774,0.73263186,0.50799006,0.674501,0.49751332,0.7617795,0.63673484,0.6803457,0.6031112,0.7601196,0.7537201,0.6711661,0.6933226,0.72124565,0.7375739,0.68326825,0.73031265,0.7320673,0.87841326,0.6897196,0.8715633,0.72817767,0.98928547,0.7013606,0.9768824,Subject1_Activity1_1,0
0.6493786,0.4419523,0.6566944,0.42885923,0.6499836,0.4289389,0.6901795,0.42766598,0.67345405,0.4263356,0.7318122,0.50766623,0.67688644,0.4960802,0.75888693,0.6418233,0.68324214,0.6094585,0.7445994,0.75589466,0.67595166,0.7055709,0.71745247,0.73593557,0.6825921,0.7278164,0.7299581,0.876955,0.6949129,0.8678371,0.72619516,0.99202484,0.7056947,0.9785037,Subject1_Activity1_1,0
0.648797,0.44195953,0.6562365,0.42878497,0.6495202,0.42886364,0.69034165,0.4274922,0.6730065,0.4262274,0.7326924,0.508255,0.67581415,0.4967787,0.75680006,0.64351153,0.68058807,0.61072195,0.7367595,0.7499998,0.67206895,0.7040122,0.71799725,0.7366112,0.68157977,0.7283031,0.72947663,0.8750867,0.6930806,0.8654624,0.7262465,0.989902,0.7053663,0.97635275,Subject1_Activity1_1,0
