epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.86,2.49331,5.90852,0.61349,2.39316,3.04769,0.69995,0.53259,0.61767,0.28875,0.6031,0.41892,0.42334,0.14761,1.83718,4.21695,0.44968,1.66593,2.39191,0.00333239,0.00333239,0.00333239
2,884.876,1.73522,4.20345,0.44374,1.65325,2.12598,0.74932,0.62941,0.71515,0.37921,0.71282,0.55368,0.59213,0.27765,1.5906,3.32094,0.34621,1.42152,2.02181,0.00659973,0.00659973,0.00659973
3,1296.11,1.59643,3.79276,0.39239,1.52269,1.9279,0.75856,0.6228,0.73237,0.41113,0.71606,0.54828,0.60941,0.30554,1.5056,3.06916,0.32275,1.33319,1.89568,0.00980108,0.00980108,0.00980108
4,1705.29,1.49725,3.51394,0.36904,1.4148,1.80189,0.79218,0.67872,0.78412,0.47591,0.7705,0.62673,0.68254,0.37567,1.35206,2.71926,0.30119,1.15075,1.71448,0.009703,0.009703,0.009703
5,2113.42,1.41051,3.27013,0.35068,1.31107,1.71423,0.80037,0.7082,0.80817,0.50347,0.78902,0.63397,0.70294,0.40031,1.29064,2.52034,0.28725,1.07292,1.64611,0.009604,0.009604,0.009604
6,2522.65,1.3611,3.11261,0.33913,1.24753,1.6594,0.8275,0.71269,0.82202,0.52888,0.79599,0.65853,0.72568,0.42759,1.23407,2.38414,0.27799,1.01792,1.58657,0.009505,0.009505,0.009505
7,2931.82,1.32294,3.00194,0.33138,1.20562,1.6243,0.81544,0.74011,0.834,0.5426,0.78869,0.68813,0.73977,0.44624,1.19998,2.28425,0.2725,0.97507,1.54548,0.009406,0.009406,0.009406
8,3340.59,1.29257,2.91216,0.32387,1.16888,1.59372,0.83002,0.74055,0.84323,0.55678,0.80393,0.69587,0.75524,0.46209,1.17957,2.21188,0.26751,0.94174,1.52319,0.009307,0.009307,0.009307
9,3749.61,1.27354,2.85407,0.31992,1.14101,1.57195,0.83715,0.74942,0.85244,0.56737,0.80662,0.69946,0.75895,0.47201,1.15475,2.15456,0.26593,0.91347,1.49183,0.009208,0.009208,0.009208
10,4158.69,1.25478,2.78989,0.31621,1.11892,1.55107,0.83297,0.75685,0.85577,0.57499,0.80726,0.69946,0.76484,0.48244,1.14063,2.10436,0.263,0.89016,1.47352,0.009109,0.009109,0.009109
11,4567.1,1.2432,2.75767,0.31306,1.10755,1.53939,0.84285,0.75908,0.86006,0.57934,0.82341,0.70104,0.76911,0.49158,1.1274,2.0648,0.26116,0.88138,1.46428,0.00901,0.00901,0.00901
12,4975.94,1.2273,2.72151,0.31061,1.09018,1.52538,0.8324,0.77018,0.8631,0.58656,0.82543,0.70645,0.77625,0.49728,1.11548,2.03409,0.2585,0.86919,1.45097,0.008911,0.008911,0.008911
