epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.302,2.20212,2.51109,1.84506,0.0019,0.0075,0.00097,0.0001,nan,nan,nan,0.0702381,0.00330688,0.00330688
2,76.3923,2.20593,2.41996,1.878,0.41377,0.19053,0.05505,0.02141,2.30121,44.0192,2.42592,0.0401724,0.00657447,0.00657447
3,112.988,2.07998,2.1409,1.77681,0.27254,0.23197,0.11896,0.04562,2.29035,5.70046,2.15541,0.0100406,0.00977607,0.00977607
4,149.263,2.04463,2.09237,1.74755,0.47402,0.28425,0.27228,0.13156,1.93662,4.20226,1.93864,0.009703,0.009703,0.009703
5,185.01,1.9733,1.90145,1.6736,0.73353,0.2818,0.33327,0.15612,1.91525,2.45958,1.87632,0.009604,0.009604,0.009604
6,220.571,1.89877,1.78333,1.65179,0.56156,0.38746,0.38226,0.18174,1.77,2.26529,1.71577,0.009505,0.009505,0.009505
7,256.274,1.89288,1.80974,1.64923,0.72317,0.35784,0.40201,0.17532,1.92189,2.20931,1.86648,0.009406,0.009406,0.009406
8,291.501,1.87825,1.72144,1.60139,0.44107,0.30864,0.32936,0.14908,1.93312,2.04652,1.84444,0.009307,0.009307,0.009307
9,326.869,1.80876,1.65204,1.57465,0.73425,0.43773,0.48715,0.23423,1.75434,1.6473,1.69798,0.009208,0.009208,0.009208
10,362.68,1.8454,1.72672,1.57073,0.58518,0.39116,0.46703,0.22485,1.79086,2.05601,1.71375,0.009109,0.009109,0.009109
11,398.179,1.76915,1.58468,1.55082,0.50906,0.42577,0.4679,0.22473,1.83781,1.64686,1.72832,0.00901,0.00901,0.00901
12,433.389,1.77536,1.51758,1.51666,0.63769,0.46251,0.50858,0.25892,1.68951,1.68406,1.62073,0.008911,0.008911,0.008911
13,469.421,1.76684,1.55262,1.5353,0.60759,0.5141,0.54076,0.2652,1.68326,1.51062,1.60537,0.008812,0.008812,0.008812
14,505.327,1.74181,1.51276,1.49853,0.47531,0.50309,0.45077,0.2209,1.69317,1.5852,1.61114,0.008713,0.008713,0.008713
15,540.682,1.75612,1.54469,1.53103,0.51041,0.50294,0.5171,0.25263,1.70473,1.54787,1.65242,0.008614,0.008614,0.008614
16,576.058,1.74459,1.50263,1.49985,0.58916,0.56442,0.62202,0.31232,1.64855,1.42355,1.56755,0.008515,0.008515,0.008515
