epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2151,2.02945,2.43568,1.5762,0.04288,0.17607,0.02766,0.01132,2.0981,13.9923,2.2963,0.0702381,0.00330688,0.00330688
2,64.1468,2.03032,2.05499,1.63457,0.18216,0.32531,0.12796,0.04802,2.10312,17.1878,1.92677,0.0401724,0.00657447,0.00657447
3,94.4849,1.99091,1.93992,1.59108,0.41328,0.2652,0.25731,0.12439,1.99691,4.16249,1.83385,0.0100406,0.00977607,0.00977607
4,125.208,1.94896,1.90556,1.57526,0.62525,0.29557,0.27634,0.13453,1.83792,3.28285,1.77979,0.009703,0.009703,0.009703
5,155.418,1.92689,1.79674,1.5394,0.4711,0.41883,0.39296,0.18033,1.80828,2.75452,1.61739,0.009604,0.009604,0.009604
6,185.819,1.84836,1.71326,1.50815,0.42815,0.47009,0.45389,0.21213,1.72108,2.40583,1.60534,0.009505,0.009505,0.009505
7,216.208,1.86589,1.67267,1.51448,0.41534,0.44078,0.41741,0.19596,1.77842,2.40453,1.63061,0.009406,0.009406,0.009406
8,246.64,1.82578,1.58573,1.46968,0.52397,0.46387,0.47872,0.22682,1.75667,1.62569,1.60787,0.009307,0.009307,0.009307
9,276.911,1.78299,1.56268,1.46504,0.77433,0.30501,0.38704,0.18424,1.72912,2.58954,1.58599,0.009208,0.009208,0.009208
10,307.361,1.78197,1.57233,1.43227,0.63215,0.48829,0.54586,0.26458,1.71677,1.84176,1.54901,0.009109,0.009109,0.009109
11,337.701,1.72515,1.44759,1.4322,0.64766,0.55118,0.60145,0.28944,1.64804,1.55911,1.49786,0.00901,0.00901,0.00901
12,367.981,1.78417,1.45498,1.43676,0.61409,0.52621,0.56797,0.2799,1.71102,1.38303,1.51393,0.008911,0.008911,0.008911
