epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7732,1.72501,2.49304,1.30129,0.63329,0.10897,0.24881,0.12419,1.6423,2.81075,1.31906,0.000468772,0.000468772,0.000468772
2,46.6201,1.65462,1.61263,1.25356,0.42453,0.46485,0.38125,0.19076,1.64221,1.98346,1.35193,0.000935749,0.000935749,0.000935749
3,69.4781,1.59261,1.49499,1.25141,0.54478,0.53016,0.51669,0.25423,1.70845,1.8728,1.41719,0.00139329,0.00139329,0.00139329
4,92.0039,1.64476,1.48843,1.25249,0.63349,0.56895,0.59644,0.30994,1.65706,1.40947,1.34306,0.00138656,0.00138656,0.00138656
5,114.571,1.64934,1.42234,1.25362,0.68606,0.69097,0.69872,0.33455,1.60149,1.26533,1.32625,0.00137241,0.00137241,0.00137241
6,137.048,1.57815,1.29747,1.23135,0.58821,0.64863,0.642,0.33046,1.57107,1.61833,1.31207,0.00135826,0.00135826,0.00135826
7,159.594,1.60408,1.30661,1.2263,0.65922,0.51742,0.58122,0.28122,1.59849,1.41239,1.30617,0.00134412,0.00134412,0.00134412
8,182.26,1.5723,1.22132,1.21506,0.68996,0.5975,0.63871,0.31738,1.57723,1.26203,1.31953,0.00132997,0.00132997,0.00132997
9,204.786,1.57418,1.215,1.22829,0.65627,0.67473,0.67976,0.32864,1.60746,1.24236,1.29352,0.00131582,0.00131582,0.00131582
10,227.352,1.61152,1.20187,1.21521,0.70708,0.70203,0.72898,0.38706,1.48721,1.08677,1.25122,0.00130168,0.00130168,0.00130168
11,249.996,1.55456,1.12793,1.19455,0.69429,0.62271,0.685,0.35162,1.54128,1.16786,1.28035,0.00128753,0.00128753,0.00128753
12,272.38,1.51516,1.11815,1.19476,0.76454,0.7241,0.76207,0.40048,1.51108,1.09983,1.25927,0.00127338,0.00127338,0.00127338
13,294.973,1.52878,1.12594,1.19809,0.72017,0.67692,0.72524,0.37846,1.52019,1.04585,1.26259,0.00125923,0.00125923,0.00125923
14,317.736,1.50596,1.07791,1.18588,0.77327,0.67434,0.75073,0.40787,1.52307,1.05943,1.26908,0.00124509,0.00124509,0.00124509
15,340.279,1.53705,1.10682,1.19591,0.72441,0.6706,0.73337,0.40145,1.54681,0.99543,1.27982,0.00123094,0.00123094,0.00123094
16,362.861,1.5034,1.07061,1.18654,0.75914,0.70695,0.79124,0.43755,1.5058,0.99967,1.26303,0.00121679,0.00121679,0.00121679
17,385.472,1.50454,1.04182,1.17868,0.6981,0.71211,0.76398,0.42811,1.51652,0.97887,1.25742,0.00120265,0.00120265,0.00120265
18,408.042,1.46956,1.00043,1.17296,0.742,0.79051,0.80335,0.45364,1.47135,0.96938,1.25221,0.0011885,0.0011885,0.0011885
19,430.66,1.50534,0.99838,1.16531,0.79539,0.68598,0.77769,0.42863,1.4792,0.99792,1.265,0.00117435,0.00117435,0.00117435
20,453.248,1.49599,0.98612,1.18682,0.74437,0.73042,0.76838,0.42341,1.48607,0.9596,1.23899,0.00116021,0.00116021,0.00116021
21,475.805,1.45126,0.95911,1.15811,0.73505,0.70446,0.76309,0.41216,1.489,1.02402,1.25285,0.00114606,0.00114606,0.00114606
22,498.245,1.46728,0.98963,1.17684,0.78244,0.7749,0.80371,0.44382,1.45861,0.92883,1.24032,0.00113191,0.00113191,0.00113191
23,520.849,1.44604,0.9577,1.16145,0.78074,0.75878,0.80321,0.4507,1.4645,0.90019,1.24843,0.00111776,0.00111776,0.00111776
24,543.366,1.43066,0.94136,1.15121,0.75017,0.76436,0.79143,0.43258,1.48803,0.96345,1.25745,0.00110362,0.00110362,0.00110362
25,565.903,1.48339,0.93766,1.15498,0.82688,0.68557,0.79361,0.44596,1.44874,0.90921,1.22647,0.00108947,0.00108947,0.00108947
26,588.394,1.43063,0.92571,1.14874,0.69372,0.72946,0.74284,0.40404,1.4764,1.01325,1.2472,0.00107532,0.00107532,0.00107532
27,610.981,1.44715,0.90594,1.15052,0.69866,0.76361,0.76108,0.43392,1.48966,0.93721,1.25573,0.00106118,0.00106118,0.00106118
28,633.395,1.41185,0.90559,1.1395,0.76605,0.76303,0.78905,0.44896,1.43385,0.9427,1.22563,0.00104703,0.00104703,0.00104703
29,655.861,1.43168,0.92195,1.15349,0.79816,0.76842,0.81871,0.44442,1.51203,0.87958,1.25936,0.00103288,0.00103288,0.00103288
