epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3375,1.76418,2.23317,1.38816,0.50134,0.48158,0.47183,0.23242,1.66333,1.79338,1.40329,0.000472553,0.000472553,0.000472553
2,38.3255,1.67145,1.46807,1.29509,0.52913,0.72073,0.53225,0.26712,1.66206,2.47265,1.39824,0.000937144,0.000937144,0.000937144
3,56.6542,1.69485,1.41357,1.31325,0.52116,0.53501,0.54337,0.28062,1.64933,1.64416,1.40797,0.00138995,0.00138995,0.00138995
4,74.6726,1.65204,1.41634,1.3146,0.63402,0.61101,0.61121,0.30086,1.63554,1.39445,1.33245,0.00137595,0.00137595,0.00137595
5,92.2854,1.66208,1.31403,1.28731,0.56112,0.57862,0.55837,0.27631,1.63706,1.72596,1.39162,0.00135826,0.00135826,0.00135826
6,109.891,1.63869,1.28305,1.29772,0.5945,0.62474,0.67437,0.35746,1.57644,1.28226,1.34444,0.00134058,0.00134058,0.00134058
7,127.573,1.61503,1.25717,1.27868,0.70056,0.69947,0.72155,0.37439,1.53829,1.18839,1.27618,0.0013229,0.0013229,0.0013229
8,145.25,1.62207,1.24535,1.27956,0.7255,0.6206,0.68725,0.35552,1.58092,1.15901,1.30872,0.00130521,0.00130521,0.00130521
9,163.116,1.58686,1.17913,1.24307,0.73133,0.63698,0.70857,0.37686,1.55972,1.06892,1.30312,0.00128753,0.00128753,0.00128753
10,180.997,1.57951,1.13212,1.24427,0.73478,0.68921,0.76385,0.42332,1.51729,1.03946,1.28645,0.00126985,0.00126985,0.00126985
11,199.066,1.57024,1.10398,1.23581,0.81914,0.70196,0.78852,0.41372,1.55437,1.02398,1.31255,0.00125216,0.00125216,0.00125216
12,217.005,1.54122,1.09831,1.23083,0.73191,0.71239,0.75593,0.38225,1.54242,1.0258,1.29897,0.00123448,0.00123448,0.00123448
13,234.804,1.53319,1.10939,1.22971,0.78633,0.73017,0.78521,0.4345,1.4821,0.99429,1.2593,0.00121679,0.00121679,0.00121679
14,252.719,1.52288,1.08845,1.2155,0.78999,0.72718,0.78017,0.41758,1.50477,0.99222,1.28092,0.00119911,0.00119911,0.00119911
15,270.244,1.5231,1.08432,1.22102,0.74316,0.71174,0.77731,0.41312,1.51549,1.02809,1.27819,0.00118143,0.00118143,0.00118143
16,287.556,1.49707,1.03234,1.20066,0.7558,0.75438,0.82109,0.46111,1.48562,1.03099,1.26089,0.00116374,0.00116374,0.00116374
17,305.459,1.49093,1.02715,1.2096,0.77646,0.72408,0.77865,0.42996,1.45359,0.92176,1.2481,0.00114606,0.00114606,0.00114606
18,323.108,1.48751,1.0018,1.18398,0.79995,0.77658,0.81668,0.44845,1.47486,0.95024,1.27985,0.00112837,0.00112837,0.00112837
19,340.609,1.46085,0.98752,1.20199,0.78745,0.78662,0.81283,0.44925,1.5092,0.91969,1.28248,0.00111069,0.00111069,0.00111069
20,358.338,1.49572,0.97785,1.20631,0.7984,0.80027,0.8427,0.45622,1.48084,0.91266,1.26029,0.00109301,0.00109301,0.00109301
21,376.591,1.43871,0.98126,1.17903,0.76786,0.78013,0.82724,0.45641,1.46534,0.92989,1.26329,0.00107532,0.00107532,0.00107532
22,394.081,1.45146,0.9713,1.18938,0.7975,0.79669,0.83039,0.45221,1.51963,0.94683,1.27474,0.00105764,0.00105764,0.00105764
23,411.861,1.44861,0.97403,1.179,0.78597,0.74107,0.79961,0.4491,1.44857,0.93853,1.22609,0.00103995,0.00103995,0.00103995
24,429.295,1.44113,0.95328,1.16627,0.79479,0.77858,0.83672,0.47445,1.42315,0.85111,1.2152,0.00102227,0.00102227,0.00102227
25,447.53,1.43409,0.92605,1.16332,0.83323,0.80838,0.84757,0.47575,1.43478,0.86001,1.22233,0.00100459,0.00100459,0.00100459
26,465.364,1.44416,0.9255,1.17006,0.81891,0.78829,0.8463,0.48038,1.42917,0.8469,1.21781,0.000986903,0.000986903,0.000986903
27,483.135,1.4209,0.91942,1.18011,0.81096,0.7731,0.83715,0.4648,1.46322,0.87106,1.22955,0.000969219,0.000969219,0.000969219
28,500.675,1.40285,0.91156,1.16542,0.78312,0.829,0.85415,0.48771,1.42797,0.82503,1.20888,0.000951535,0.000951535,0.000951535
29,518.241,1.38883,0.88244,1.15267,0.82074,0.82245,0.85439,0.48632,1.40569,0.85953,1.20185,0.000933851,0.000933851,0.000933851
30,535.951,1.41398,0.87074,1.14051,0.79571,0.80271,0.84719,0.48363,1.44359,0.82038,1.22386,0.000916168,0.000916168,0.000916168
31,553.922,1.38054,0.89183,1.14529,0.82174,0.7802,0.83606,0.47839,1.42582,0.82671,1.21886,0.000898484,0.000898484,0.000898484
32,571.487,1.38946,0.85843,1.15186,0.7874,0.80143,0.84964,0.47986,1.42998,0.80676,1.21721,0.0008808,0.0008808,0.0008808
33,589.222,1.37875,0.85446,1.14086,0.85962,0.78413,0.87148,0.499,1.39826,0.78461,1.19801,0.000863116,0.000863116,0.000863116
34,606.796,1.34685,0.84405,1.13465,0.84221,0.79743,0.87393,0.50968,1.39618,0.80162,1.19671,0.000845432,0.000845432,0.000845432
35,624.385,1.37266,0.82782,1.13549,0.83799,0.81015,0.85728,0.49177,1.41006,0.79168,1.20795,0.000827748,0.000827748,0.000827748
36,642.051,1.3688,0.83922,1.13182,0.82628,0.81648,0.87316,0.49318,1.43043,0.82553,1.22572,0.000810064,0.000810064,0.000810064
37,659.564,1.35834,0.7994,1.1225,0.86224,0.78989,0.87514,0.50284,1.39898,0.78242,1.19054,0.00079238,0.00079238,0.00079238
38,677.317,1.34904,0.80521,1.11428,0.87112,0.8074,0.88421,0.51978,1.36554,0.74399,1.17661,0.000774697,0.000774697,0.000774697
39,694.781,1.34783,0.78956,1.12053,0.83964,0.78246,0.8588,0.491,1.4267,0.78997,1.19257,0.000757013,0.000757013,0.000757013
40,712.775,1.3362,0.79733,1.11472,0.84984,0.8374,0.87989,0.50835,1.40441,0.77049,1.19573,0.000739329,0.000739329,0.000739329
41,731.055,1.33855,0.79827,1.11342,0.85441,0.80836,0.89027,0.51716,1.38406,0.75128,1.19192,0.000721645,0.000721645,0.000721645
42,748.914,1.29585,0.78834,1.11199,0.84772,0.8277,0.89087,0.52298,1.39286,0.79602,1.19608,0.000703961,0.000703961,0.000703961
43,766.402,1.33719,0.78895,1.11833,0.86327,0.82257,0.88952,0.52218,1.39611,0.76885,1.1905,0.000686277,0.000686277,0.000686277
44,783.911,1.32039,0.77949,1.10754,0.79965,0.82428,0.88313,0.51793,1.38787,0.77073,1.19054,0.000668593,0.000668593,0.000668593
45,801.64,1.30122,0.76597,1.11228,0.82358,0.83371,0.87374,0.50316,1.41201,0.78579,1.20264,0.000650909,0.000650909,0.000650909
46,819.297,1.29109,0.75502,1.10193,0.86058,0.81283,0.88118,0.51089,1.36914,0.7697,1.18929,0.000633226,0.000633226,0.000633226
47,836.975,1.31149,0.76698,1.10584,0.83565,0.8471,0.89036,0.52333,1.38173,0.75518,1.17201,0.000615542,0.000615542,0.000615542
48,854.866,1.31103,0.75918,1.09049,0.86805,0.82345,0.90074,0.54417,1.36395,0.72814,1.17462,0.000597858,0.000597858,0.000597858
49,872.502,1.2699,0.73834,1.09067,0.82702,0.86785,0.89324,0.52861,1.38669,0.71741,1.17698,0.000580174,0.000580174,0.000580174
50,890.636,1.2609,0.72866,1.08443,0.83601,0.83854,0.88002,0.51963,1.40207,0.72627,1.19917,0.00056249,0.00056249,0.00056249
51,908.538,1.28366,0.72482,1.08762,0.77004,0.85799,0.87958,0.51735,1.3734,0.7782,1.17788,0.000544806,0.000544806,0.000544806
52,926.771,1.26138,0.70631,1.07979,0.8311,0.84779,0.89254,0.54126,1.36591,0.7148,1.16426,0.000527122,0.000527122,0.000527122
53,944.634,1.25187,0.71623,1.08445,0.84965,0.79634,0.88145,0.52531,1.39557,0.73642,1.18357,0.000509438,0.000509438,0.000509438
54,962.133,1.27004,0.7233,1.08,0.79972,0.8373,0.88495,0.52255,1.3736,0.73587,1.16873,0.000491755,0.000491755,0.000491755
55,980.03,1.25416,0.71207,1.07983,0.81384,0.86002,0.87867,0.51477,1.38473,0.7174,1.18276,0.000474071,0.000474071,0.000474071
56,997.545,1.2483,0.71505,1.07359,0.78172,0.8551,0.88347,0.52217,1.37691,0.7535,1.16851,0.000456387,0.000456387,0.000456387
57,1015.23,1.25254,0.68817,1.06601,0.83961,0.83951,0.89268,0.54167,1.33668,0.70795,1.15004,0.000438703,0.000438703,0.000438703
58,1033.22,1.2152,0.67904,1.06851,0.84214,0.87478,0.894,0.53415,1.38375,0.70308,1.18737,0.000421019,0.000421019,0.000421019
59,1051.15,1.23211,0.68583,1.06151,0.82485,0.86615,0.90384,0.54319,1.35663,0.71059,1.16702,0.000403335,0.000403335,0.000403335
60,1068.7,1.22229,0.68488,1.07065,0.79941,0.86556,0.88332,0.5376,1.32572,0.71002,1.15375,0.000385651,0.000385651,0.000385651
61,1086.35,1.19401,0.66661,1.06006,0.8814,0.8139,0.90724,0.54339,1.35941,0.68533,1.16823,0.000367967,0.000367967,0.000367967
62,1103.94,1.21839,0.66186,1.05201,0.83759,0.86029,0.89223,0.52722,1.36264,0.72856,1.17858,0.000350284,0.000350284,0.000350284
63,1121.49,1.22499,0.65347,1.05598,0.84309,0.88104,0.9001,0.53699,1.35361,0.70463,1.16221,0.0003326,0.0003326,0.0003326
64,1138.66,1.21121,0.66402,1.04524,0.85098,0.86738,0.90261,0.54468,1.33659,0.69429,1.15793,0.000314916,0.000314916,0.000314916
65,1157.06,1.17668,0.65033,1.05092,0.83954,0.84875,0.89878,0.54586,1.34834,0.68839,1.1623,0.000297232,0.000297232,0.000297232
66,1174.99,1.18813,0.64277,1.04033,0.84272,0.87791,0.89548,0.5434,1.34668,0.67306,1.16995,0.000279548,0.000279548,0.000279548
