epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6564,1.81884,2.3337,1.43589,0.53302,0.49986,0.49829,0.23996,1.65224,2.09795,1.4454,0.000472553,0.000472553,0.000472553
2,37.9066,1.71123,1.50379,1.32591,0.4912,0.49714,0.47642,0.22565,1.70053,1.97585,1.45016,0.000937144,0.000937144,0.000937144
3,55.3075,1.7008,1.42358,1.32619,0.54069,0.5458,0.52223,0.26794,1.65638,1.84096,1.40573,0.00138995,0.00138995,0.00138995
4,72.2762,1.66289,1.37298,1.32585,0.49186,0.61616,0.55302,0.27243,1.60807,1.603,1.37045,0.00137595,0.00137595,0.00137595
5,89.6078,1.69319,1.3265,1.30546,0.68323,0.62379,0.64967,0.29873,1.69838,1.52882,1.47377,0.00135826,0.00135826,0.00135826
6,106.67,1.64199,1.3134,1.30649,0.63609,0.59735,0.63906,0.32741,1.58641,1.30456,1.34401,0.00134058,0.00134058,0.00134058
7,124.715,1.6531,1.2725,1.30194,0.72801,0.63993,0.70049,0.3264,1.6333,1.17527,1.35658,0.0013229,0.0013229,0.0013229
8,141.767,1.60735,1.25526,1.28302,0.65287,0.67806,0.69754,0.35539,1.62511,1.16229,1.35786,0.00130521,0.00130521,0.00130521
9,159.154,1.61603,1.20226,1.26482,0.6688,0.70221,0.6937,0.35565,1.56261,1.08228,1.33978,0.00128753,0.00128753,0.00128753
10,176.681,1.59432,1.14748,1.2526,0.70498,0.66402,0.72533,0.37786,1.57961,1.11616,1.33398,0.00126985,0.00126985,0.00126985
11,194.422,1.58742,1.13775,1.24416,0.67128,0.72696,0.73666,0.38253,1.54334,1.05508,1.30535,0.00125216,0.00125216,0.00125216
12,211.283,1.56126,1.10103,1.24318,0.70942,0.70264,0.75011,0.3879,1.5277,1.01672,1.29226,0.00123448,0.00123448,0.00123448
13,228.565,1.54304,1.10298,1.24491,0.79633,0.72707,0.78773,0.42749,1.50371,0.99596,1.29037,0.00121679,0.00121679,0.00121679
14,245.884,1.53288,1.09166,1.22626,0.7273,0.71509,0.74561,0.40403,1.54669,0.99835,1.29269,0.00119911,0.00119911,0.00119911
15,262.697,1.53349,1.08385,1.22373,0.75575,0.70761,0.78399,0.43788,1.5183,1.03985,1.29903,0.00118143,0.00118143,0.00118143
16,279.779,1.51412,1.04467,1.21184,0.74886,0.73047,0.78298,0.43112,1.493,1.10068,1.2883,0.00116374,0.00116374,0.00116374
17,296.874,1.49426,1.03271,1.21691,0.7159,0.75464,0.77347,0.41844,1.48906,0.9593,1.28774,0.00114606,0.00114606,0.00114606
18,313.966,1.48816,1.00526,1.1868,0.83081,0.79415,0.84561,0.45247,1.45094,0.91085,1.25385,0.00112837,0.00112837,0.00112837
19,331.169,1.4556,0.98605,1.20272,0.79804,0.77921,0.82809,0.436,1.50226,0.91763,1.28964,0.00111069,0.00111069,0.00111069
20,348.256,1.49559,0.98819,1.20968,0.81326,0.75033,0.83317,0.46799,1.46396,0.89326,1.25503,0.00109301,0.00109301,0.00109301
21,365.407,1.43965,0.97269,1.18826,0.78159,0.80288,0.80319,0.45418,1.46068,0.91654,1.25508,0.00107532,0.00107532,0.00107532
22,382.506,1.45035,0.95049,1.19221,0.76749,0.77074,0.80304,0.44285,1.48346,0.89703,1.26276,0.00105764,0.00105764,0.00105764
23,399.677,1.4531,0.96195,1.18581,0.78845,0.75579,0.81375,0.45421,1.44617,0.91962,1.23028,0.00103995,0.00103995,0.00103995
24,416.855,1.44315,0.95491,1.17219,0.74189,0.77494,0.79802,0.44994,1.47611,0.92125,1.25563,0.00102227,0.00102227,0.00102227
25,434.092,1.43202,0.9435,1.1689,0.77588,0.77652,0.80898,0.4525,1.43021,0.897,1.2364,0.00100459,0.00100459,0.00100459
26,451.609,1.45871,0.94576,1.18361,0.77207,0.76564,0.80216,0.45866,1.44382,0.88562,1.24212,0.000986903,0.000986903,0.000986903
27,468.59,1.43788,0.93647,1.18958,0.7776,0.76015,0.81499,0.46128,1.46354,0.89205,1.23642,0.000969219,0.000969219,0.000969219
28,485.936,1.40521,0.92073,1.16756,0.7919,0.799,0.82923,0.46442,1.46537,0.85498,1.23296,0.000951535,0.000951535,0.000951535
29,502.936,1.40095,0.89086,1.16202,0.80699,0.80963,0.8349,0.47311,1.46525,0.88976,1.2476,0.000933851,0.000933851,0.000933851
30,521.38,1.43141,0.88347,1.15216,0.79034,0.82148,0.83262,0.48087,1.46208,0.83482,1.25723,0.000916168,0.000916168,0.000916168
31,539.448,1.396,0.89433,1.15875,0.85728,0.77678,0.85936,0.48326,1.46309,0.81471,1.24421,0.000898484,0.000898484,0.000898484
32,556.692,1.39903,0.86135,1.15835,0.81843,0.74489,0.83184,0.47402,1.42804,0.83968,1.23224,0.0008808,0.0008808,0.0008808
33,574.997,1.39453,0.85821,1.15402,0.82845,0.8007,0.85804,0.48932,1.3903,0.81569,1.21201,0.000863116,0.000863116,0.000863116
34,592.872,1.35823,0.86522,1.14353,0.8201,0.80255,0.85403,0.48988,1.42056,0.84406,1.22615,0.000845432,0.000845432,0.000845432
35,611.147,1.37431,0.84588,1.14051,0.83218,0.81403,0.85255,0.47951,1.44325,0.80108,1.22247,0.000827748,0.000827748,0.000827748
36,629.423,1.37857,0.84295,1.13427,0.83417,0.77659,0.85725,0.49469,1.40559,0.78321,1.21444,0.000810064,0.000810064,0.000810064
37,647.552,1.36007,0.80215,1.12555,0.82358,0.78891,0.84256,0.48771,1.39983,0.78422,1.2063,0.00079238,0.00079238,0.00079238
38,664.843,1.35995,0.81706,1.12112,0.81824,0.82423,0.85585,0.49918,1.39124,0.78568,1.19321,0.000774697,0.000774697,0.000774697
39,682.006,1.36142,0.80507,1.12916,0.79579,0.82184,0.82929,0.4685,1.44062,0.7929,1.22372,0.000757013,0.000757013,0.000757013
40,699.352,1.34617,0.80567,1.12605,0.79356,0.82798,0.84041,0.47846,1.42952,0.78601,1.21567,0.000739329,0.000739329,0.000739329
